,Klaster_Finansowy,Klaster_Pogodowy,Średnia temperatura [°C],Suma opadów [mm],N_opt [kg/ha],P_opt [kg/ha],K_opt [kg/ha],Przewidywany plon [dt/ha],Koszt N [zł/ha],Koszt P [zł/ha],Koszt K [zł/ha],Koszt nawożenia [zł/ha],Przychód [zł/ha],Zysk netto [zł/ha]
DOLNOSLASKIE,0,1,10.676678793322854,724.5400000000001,71.53054198766146,27.946113966056444,43.94196445673261,50.29184283494283,27.46340977536391,30.459056451510836,19.9445341245243,77.86700035139904,3500.1815025206497,3422.3145021692508
KUJAWSKOPOMORSKIE,0,0,10.082981810015719,642.76,76.20373814553255,25.053718411872442,39.192979367034916,49.195920401820395,29.257634975928,27.30657379964747,17.789047988450545,74.35325676402601,3423.9081505736544,3349.5548938096285
LUBUSKIE,2,1,10.785106220525488,584.6,101.16058862305084,30.95073229047692,45.50235593186618,48.189666666666675,38.83955889710838,33.73385305721872,20.65277012189446,93.22618207622156,3353.875506866667,3260.6493247904455
MALOPOLSKIE,2,2,10.15848341941762,781.7,101.96092309739939,36.2166464047785,47.654766933873006,56.640443223443214,39.146839018516886,39.47328342922451,21.629714034399704,100.24983648214109,3942.0275831992662,3841.777746717125
OPOLSKIE,0,2,10.509992364697956,776.76,72.28803487556901,33.1441281117451,45.545438683929596,52.88276594516592,27.754241313955035,36.12448122189527,20.672324673661333,84.55104720951164,3680.5030145920905,3595.951967382579
POMORSKIE,1,0,9.810332210494797,652.5400000000001,87.28803487556901,23.144128111745097,43.545438683929596,51.4181688145188,33.513335753663284,25.22527123208895,19.76455760538824,78.50316459114048,3578.5708622515904,3500.06769766045
SLASKIE,1,2,9.97736207799985,797.6,85.83739923896383,34.001037754874005,47.43742298035459,55.47122305749803,32.95637924507558,37.05844503617047,21.531065192653557,91.5458894738996,3860.652899621913,3769.1070101480136
WARMINSKOMAZURSKIE,2,0,9.118331911071188,719.72,100.83739923896383,24.001037754874005,45.43742298035459,51.715723015873024,38.71547368478383,26.159235046364145,20.623298124380465,85.49800685552844,3599.279861024921,3513.781854169393
WIELKOPOLSKIE,0,1,10.341033310876563,634.6,71.53054198766146,27.946113966056444,43.94196445673261,47.95148702686201,27.46340977536391,30.459056451510836,19.9445341245243,77.86700035139904,3337.298823203326,3259.431822851927
ZACHODNIOPOMORSKIE,1,1,10.288014222621454,649.9,90.43404941790965,28.670216310562775,43.69807036299653,52.98328095238097,34.72121541086563,31.248270802199396,19.833834611304336,85.80332082436937,3687.498597755239,3601.69527693087
