rok,kategoria,nawóz,wojewodztwo,cena_pln_t,skladnik,cena_za_kg_czysty
2018,Nawozy azotowe,saletra amonowa,DOLNOŚLĄSKIE,120.0,N,0.3529411764705882
2018,Nawozy azotowe,saletra amonowa,KUJAWSKO-POMORSKIE,110.0,N,0.32352941176470584
2018,Nawozy azotowe,saletra amonowa,LUBELSKIE,116.0,N,0.3411764705882353
2018,Nawozy azotowe,saletra amonowa,LUBUSKIE,145.0,N,0.42647058823529405
2018,Nawozy azotowe,saletra amonowa,ŁÓDZKIE,128.0,N,0.3764705882352941
2018,Nawozy azotowe,saletra amonowa,MAŁOPOLSKIE,150.0,N,0.4411764705882352
2018,Nawozy azotowe,saletra amonowa,MAZOWIECKIE,148.0,N,0.4352941176470588
2018,Nawozy azotowe,saletra amonowa,OPOLSKIE,146.0,N,0.42941176470588227
2018,Nawozy azotowe,saletra amonowa,PODKARPACKIE,133.0,N,0.3911764705882353
2018,Nawozy azotowe,saletra amonowa,PODLASKIE,118.0,N,0.3470588235294117
2018,Nawozy azotowe,saletra amonowa,POMORSKIE,150.0,N,0.4411764705882352
2018,Nawozy azotowe,saletra amonowa,ŚLĄSKIE,120.0,N,0.3529411764705882
2018,Nawozy azotowe,saletra amonowa,ŚWIĘTOKRZYSKIE,130.0,N,0.38235294117647056
2018,Nawozy azotowe,saletra amonowa,WARMIŃSKO-MAZURSKIE,130.0,N,0.38235294117647056
2018,Nawozy azotowe,saletra amonowa,WIELKOPOLSKIE,119.0,N,0.35
2018,Nawozy azotowe,saletra amonowa,ZACHODNIOPOMORSKIE,144.0,N,0.4235294117647058
2018,Nawozy azotowe,saletrzak,DOLNOŚLĄSKIE,107.0,N,0.39629629629629626
2018,Nawozy azotowe,saletrzak,KUJAWSKO-POMORSKIE,96.0,N,0.3555555555555555
2018,Nawozy azotowe,saletrzak,LUBELSKIE,101.0,N,0.37407407407407406
2018,Nawozy azotowe,saletrzak,LUBUSKIE,128.0,N,0.47407407407407404
2018,Nawozy azotowe,saletrzak,ŁÓDZKIE,110.0,N,0.4074074074074074
2018,Nawozy azotowe,saletrzak,MAŁOPOLSKIE,140.0,N,0.5185185185185185
2018,Nawozy azotowe,saletrzak,MAZOWIECKIE,136.0,N,0.5037037037037037
2018,Nawozy azotowe,saletrzak,OPOLSKIE,120.0,N,0.4444444444444444
2018,Nawozy azotowe,saletrzak,PODKARPACKIE,124.0,N,0.4592592592592592
2018,Nawozy azotowe,saletrzak,PODLASKIE,112.0,N,0.4148148148148148
2018,Nawozy azotowe,saletrzak,POMORSKIE,120.0,N,0.4444444444444444
2018,Nawozy azotowe,saletrzak,ŚLĄSKIE,107.0,N,0.39629629629629626
2018,Nawozy azotowe,saletrzak,ŚWIĘTOKRZYSKIE,110.0,N,0.4074074074074074
2018,Nawozy azotowe,saletrzak,WARMIŃSKO-MAZURSKIE,117.0,N,0.43333333333333335
2018,Nawozy azotowe,saletrzak,WIELKOPOLSKIE,101.0,N,0.37407407407407406
2018,Nawozy azotowe,saletrzak,ZACHODNIOPOMORSKIE,120.0,N,0.4444444444444444
2018,Nawozy azotowe,mocznik,DOLNOŚLĄSKIE,143.0,N,0.3108695652173913
2018,Nawozy azotowe,mocznik,KUJAWSKO-POMORSKIE,132.0,N,0.28695652173913044
2018,Nawozy azotowe,mocznik,LUBELSKIE,143.0,N,0.3108695652173913
2018,Nawozy azotowe,mocznik,LUBUSKIE,150.0,N,0.3260869565217391
2018,Nawozy azotowe,mocznik,ŁÓDZKIE,145.0,N,0.3152173913043478
2018,Nawozy azotowe,mocznik,MAŁOPOLSKIE,180.0,N,0.3913043478260869
2018,Nawozy azotowe,mocznik,MAZOWIECKIE,148.0,N,0.3217391304347826
2018,Nawozy azotowe,mocznik,OPOLSKIE,156.0,N,0.3391304347826087
2018,Nawozy azotowe,mocznik,PODKARPACKIE,168.0,N,0.3652173913043478
2018,Nawozy azotowe,mocznik,PODLASKIE,140.0,N,0.30434782608695654
2018,Nawozy azotowe,mocznik,POMORSKIE,160.0,N,0.34782608695652173
2018,Nawozy azotowe,mocznik,ŚLĄSKIE,143.0,N,0.3108695652173913
