id,wojewodztwo,rok,cena_pszenicy_dt,cena_pszenicy_t
011200000000,MAŁOPOLSKIE,2016,58.3,583.0
012400000000,ŚLĄSKIE,2016,61.4,614.0
020800000000,LUBUSKIE,2016,62.34,623.4000000000001
023000000000,WIELKOPOLSKIE,2016,63.59,635.9000000000001
023200000000,ZACHODNIOPOMORSKIE,2016,64.37,643.7
030200000000,DOLNOŚLĄSKIE,2016,59.89,598.9
031600000000,OPOLSKIE,2016,59.9,599.0
040400000000,KUJAWSKO-POMORSKIE,2016,64.63,646.3
042200000000,POMORSKIE,2016,63.96,639.6
042800000000,WARMIŃSKO-MAZURSKIE,2016,63.21,632.1
011200000000,MAŁOPOLSKIE,2017,63.96,639.6
012400000000,ŚLĄSKIE,2017,65.92,659.2
020800000000,LUBUSKIE,2017,65.76,657.6
023000000000,WIELKOPOLSKIE,2017,67.22,672.2
023200000000,ZACHODNIOPOMORSKIE,2017,66.19,661.9
030200000000,DOLNOŚLĄSKIE,2017,64.4,644.0
031600000000,OPOLSKIE,2017,64.05,640.5
040400000000,KUJAWSKO-POMORSKIE,2017,70.09,700.9000000000001
042200000000,POMORSKIE,2017,68.65,686.5
042800000000,WARMIŃSKO-MAZURSKIE,2017,67.39,673.9
011200000000,MAŁOPOLSKIE,2018,71.81,718.1
012400000000,ŚLĄSKIE,2018,72.16,721.5999999999999
020800000000,LUBUSKIE,2018,72.08,720.8
023000000000,WIELKOPOLSKIE,2018,73.03,730.3
023200000000,ZACHODNIOPOMORSKIE,2018,72.28,722.8
030200000000,DOLNOŚLĄSKIE,2018,72.25,722.5
031600000000,OPOLSKIE,2018,70.75,707.5
040400000000,KUJAWSKO-POMORSKIE,2018,72.58,725.8
042200000000,POMORSKIE,2018,76.27,762.6999999999999
042800000000,WARMIŃSKO-MAZURSKIE,2018,74.49,744.9
011200000000,MAŁOPOLSKIE,2019,69.3,693.0
012400000000,ŚLĄSKIE,2019,70.12,701.2
020800000000,LUBUSKIE,2019,67.66,676.5999999999999
023000000000,WIELKOPOLSKIE,2019,73.56,735.6
023200000000,ZACHODNIOPOMORSKIE,2019,72.9,729.0
030200000000,DOLNOŚLĄSKIE,2019,70.68,706.8000000000001
031600000000,OPOLSKIE,2019,71.13,711.3
040400000000,KUJAWSKO-POMORSKIE,2019,73.09,730.9000000000001
042200000000,POMORSKIE,2019,74.37,743.7
042800000000,WARMIŃSKO-MAZURSKIE,2019,72.64,726.4
011200000000,MAŁOPOLSKIE,2020,72.67,726.7
012400000000,ŚLĄSKIE,2020,76.42,764.2
020800000000,LUBUSKIE,2020,73.56,735.6
023000000000,WIELKOPOLSKIE,2020,76.14,761.4
023200000000,ZACHODNIOPOMORSKIE,2020,77.24,772.4
030200000000,DOLNOŚLĄSKIE,2020,71.72,717.2
031600000000,OPOLSKIE,2020,72.69,726.9
040400000000,KUJAWSKO-POMORSKIE,2020,75.51,755.1
042200000000,POMORSKIE,2020,79.9,799.0
042800000000,WARMIŃSKO-MAZURSKIE,2020,75.65,756.5
