id,wojewodztwo,rok,plony_dt_ha
011200000000,MAŁOPOLSKIE,2016,39.4
012400000000,ŚLĄSKIE,2016,47.3
020800000000,LUBUSKIE,2016,45.8
023000000000,WIELKOPOLSKIE,2016,46.3
023200000000,ZACHODNIOPOMORSKIE,2016,48.2
030200000000,DOLNOŚLĄSKIE,2016,52.7
031600000000,OPOLSKIE,2016,59.6
040400000000,KUJAWSKO-POMORSKIE,2016,43.0
042200000000,POMORSKIE,2016,48.3
042800000000,WARMIŃSKO-MAZURSKIE,2016,42.1
011200000000,MAŁOPOLSKIE,2017,41.1
012400000000,ŚLĄSKIE,2017,48.2
020800000000,LUBUSKIE,2017,48.3
023000000000,WIELKOPOLSKIE,2017,50.5
023200000000,ZACHODNIOPOMORSKIE,2017,52.0
030200000000,DOLNOŚLĄSKIE,2017,53.8
031600000000,OPOLSKIE,2017,62.9
040400000000,KUJAWSKO-POMORSKIE,2017,50.2
042200000000,POMORSKIE,2017,54.4
042800000000,WARMIŃSKO-MAZURSKIE,2017,46.5
011200000000,MAŁOPOLSKIE,2018,38.0
012400000000,ŚLĄSKIE,2018,43.0
020800000000,LUBUSKIE,2018,31.1
023000000000,WIELKOPOLSKIE,2018,38.6
023200000000,ZACHODNIOPOMORSKIE,2018,37.2
030200000000,DOLNOŚLĄSKIE,2018,45.0
031600000000,OPOLSKIE,2018,55.7
040400000000,KUJAWSKO-POMORSKIE,2018,38.3
042200000000,POMORSKIE,2018,45.6
042800000000,WARMIŃSKO-MAZURSKIE,2018,38.0
011200000000,MAŁOPOLSKIE,2019,38.5
012400000000,ŚLĄSKIE,2019,42.9
020800000000,LUBUSKIE,2019,35.4
023000000000,WIELKOPOLSKIE,2019,41.3
023200000000,ZACHODNIOPOMORSKIE,2019,47.0
030200000000,DOLNOŚLĄSKIE,2019,47.1
031600000000,OPOLSKIE,2019,60.2
040400000000,KUJAWSKO-POMORSKIE,2019,44.8
042200000000,POMORSKIE,2019,52.9
042800000000,WARMIŃSKO-MAZURSKIE,2019,46.1
011200000000,MAŁOPOLSKIE,2020,42.9
012400000000,ŚLĄSKIE,2020,52.0
020800000000,LUBUSKIE,2020,47.3
023000000000,WIELKOPOLSKIE,2020,55.1
023200000000,ZACHODNIOPOMORSKIE,2020,52.7
030200000000,DOLNOŚLĄSKIE,2020,56.2
031600000000,OPOLSKIE,2020,62.3
040400000000,KUJAWSKO-POMORSKIE,2020,57.4
042200000000,POMORSKIE,2020,63.1
042800000000,WARMIŃSKO-MAZURSKIE,2020,55.8
